Palavra;Documentos
saccular;['00837 ']
sadly;['01022 ', '01036 ']
safe;['00038 ', '00238', '00395 ']
safer;['01070 ']
safety;['00693 ', '00773 ']
said;['00437 ', '00762 ', '00930 ']
saline;['00542 ']
saliva;['00019 ', '00077 ', '00444 ', '00445 ', '00445 ', '00484 ', '00505 ', '01172 ', '01172 ', '01172 ', '01172 ', '01172 ']
salivary;['00077 ', '00077 ', '00077 ', '00077 ', '00077 ', '00077 ', '00077 ', '00189', '00281', '00505 ', '00602 ', '00602 ', '00615 ', '00724 ', '01206 ', '01206 ', '01206 ', '01206 ', '01223 ']
salmonellosis;['00487 ']
salt;['00018 ', '00096 ', '00103 ', '00109 ', '00119 ', '00268', '00268', '00294', '00297', '00300', '00331', '00359 ', '00359 ', '00395 ', '00395 ', '00395 ', '00781 ', '00997 ']
salvageable;['00844 ']
same;['00012 ', '00014 ', '00102 ', '00244', '00270', '00327', '00430 ', '00432 ', '00451 ', '00484 ', '00495 ', '00534 ', '00534 ', '00582 ', '00687 ', '00711 ', '00798 ', '00903 ', '00927 ', '00962 ', '01022 ', '01036 ', '01105 ', '01170 ', '01172 ', '01172 ', '01175 ', '01206 ']
sample;['00525 ', '00534 ', '00534 ', '00593 ', '00714 ', '00739 ', '00930 ', '01096 ', '01136 ', '01139 ', '01140 ', '01140 ']
samples;['00033 ', '00071 ', '00118 ', '00278', '00289', '00451 ', '00471 ', '00471 ', '00529 ', '00534 ', '00534 ', '00534 ', '00534 ', '00644 ', '00739 ', '01028 ', '01028 ', '01028 ', '01028 ', '01127 ', '01128 ', '01206 ']
sampling;['00014 ', '00360 ', '00360 ']
sans;['00693 ']
sarcoidosis;['01132 ']
satisfactorily;['00505 ']
satisfactory;['00034 ', '00359 ', '00556 ', '00930 ', '01152 ', '01152 ', '01174 ']
save;['00154 ']
say;['00430 ', '00483 ']
scale;['00285', '01174 ']
scalp;['00146 ']
scanning;['00643 ']
scarification;['00363 ']
scatter;['01178 ', '01178 ']
schedule;['00247']
school;['00169', '00272', '00272', '00330', '00330', '00736 ', '00761 ', '01033 ']
schwarzengrund;['00487 ']
scientific;['00112 ']
scientifically;['00326']
scope;['00056 ', '00077 ', '00508 ']
score;['00278', '00359 ', '00415 ', '00415 ', '01151 ', '01151 ']
scores;['00102 ', '00272', '00278', '00286', '00415 ', '00415 ']
scoring;['00244', '00415 ']
screen;['01128 ']
screened;['00033 ', '00071 ', '00247', '00739 ']
screening;['00071 ', '00076 ', '00076 ', '00076 ', '00076 ', '00109 ', '00112 ', '00112 ', '00112 ', '00116 ', '00120 ', '00120 ', '00120 ', '00120 ', '00135 ', '00203', '00203', '00203', '00247', '00247', '00247', '00247', '00247', '00247', '00247', '00280', '00291', '00294', '00370 ', '00377 ', '00433 ', '00465 ', '00476 ', '00476 ', '00476 ', '00476 ', '00482 ', '00483 ', '00483 ', '00491 ', '00492 ', '00627 ', '00627 ', '00697 ', '00697 ', '00713 ', '00818 ', '00818 ', '00818 ', '00835 ', '00838 ', '00930 ', '00966 ', '01174 ', '01174 ', '01174 ', '01182 ', '01182 ', '01234 ']
se;['00208', '00508 ']
sea;['00105 ', '00270']
sealed;['00146 ']
search;['00203', '00325', '00392 ', '00570 ', '00898 ', '01156 ', '01238 ']
second;['00058 ', '00180', '00242', '00272', '00315', '00452 ', '00470 ', '00507 ', '00590 ', '00627 ', '00643 ', '00762 ', '00768 ', '00872 ', '00990 ', '01099 ', '01130 ', '01130 ', '01160 ', '01206 ']
secondarily;['00781 ']
secondary;['00058 ', '00098 ', '00118 ', '00162 ', '00446 ', '00468 ', '00508 ', '00525 ', '00538 ', '00596 ', '00602 ', '00716 ', '00768 ', '00801 ', '00801 ', '00822 ', '00919 ', '00928 ', '01163 ', '01177 ', '01184 ']
secondly;['00494 ', '00838 ']
secrete;['00129 ', '00300', '00300', '00437 ', '00559 ', '00875 ', '01167 ']
secreted;['00496 ']
secretin;['00643 ', '00719 ', '01013 ']
secreting;['00169']
secretion;['00077 ', '00077 ', '00077 ', '00077 ', '00077 ', '00077 ', '00215', '00270', '00270', '00333', '00333', '00398 ', '00398 ', '00435 ', '00441 ', '00484 ', '00490 ', '00494 ', '00495 ', '00498 ', '00498 ', '00498 ', '00498 ', '00500 ', '00505 ', '00516 ', '00694 ', '00781 ', '00797 ', '00925 ', '00925 ', '00925 ', '01100 ', '01100 ', '01111 ', '01128 ', '01156 ', '01157 ', '01167 ', '01170 ', '01172 ', '01185 ', '01238 ']
secretions;['00018 ', '00189', '00189', '00215', '00281', '00325', '00333', '00430 ', '00439 ', '00439 ', '00439 ', '00441 ', '00441 ', '00441 ', '00441 ', '00441 ', '00441 ', '00441 ', '00441 ', '00441 ', '00451 ', '00465 ', '00478 ', '00496 ', '00497 ', '00497 ', '00497 ', '00498 ', '00503 ', '00503 ', '00503 ', '00505 ', '00511 ', '00798 ', '00856 ', '00875 ', '00875 ', '00875 ', '01065 ', '01153 ', '01175 ', '01185 ']
secretory;['00270', '00270', '00297', '00440 ', '00440 ', '00516 ', '00592 ', '00714 ', '01167 ', '01172 ', '01173 ', '01185 ', '01223 ']
section;['00014 ', '00157 ']
sections;['00423 ']
security;['00359 ']
sedimentation;['00511 ', '00556 ']
see;['00456 ', '00586 ', '00592 ', '01131 ']
seek;['00811 ']
seem;['00104 ', '00315', '00689 ', '00879 ', '01156 ', '01160 ', '01195 ']
seemed;['00206', '00325', '00350', '00556 ', '00949 ', '01033 ', '01162 ']
seemingly;['00189', '00431 ', '00933 ']
seems;['00103 ', '00104 ', '00125 ', '00208', '00262', '00268', '00281', '00283', '00290', '00377 ', '00476 ', '00484 ', '00714 ', '00716 ', '00755 ', '00822 ', '00860 ', '00875 ', '00928 ', '01099 ', '01138 ', '01170 ', '01173 ', '01186 ']
seen;['00109 ', '00115 ', '00237', '00237', '00241', '00244', '00247', '00250', '00333', '00333', '00373 ', '00373 ', '00542 ', '00582 ', '00615 ', '00690 ', '00714 ', '00752 ', '00762 ', '00808 ', '00879 ', '00922 ', '01065 ', '01066 ', '01091 ', '01166 ', '01170 ', '01223 ', '01223 ']
sees;['00037 ']
segment;['00837 ']
segments;['01138 ']
segregation;['01096 ']
seldom;['00250']
selected;['00072 ', '00116 ', '00247', '00315', '00438 ', '00438 ', '00442 ', '00451 ', '00716 ']
selection;['00247', '00451 ']
selective;['00442 ', '00617 ', '00648 ', '00818 ', '00846 ', '01106 ']
selectively;['00270', '00484 ']
selenomethionine;['00643 ']
self;['01152 ']
semen;['00351', '00351', '00351', '00477 ']
semilethal;['01033 ']
seminal;['00724 ', '00860 ', '01033 ']
semiquantitative;['00483 ']
sense;['00398 ']
sensitisation;['00397 ', '00397 ']
sensitised;['00397 ', '00397 ', '00397 ', '00397 ', '00397 ', '00397 ']
sensitive;['00090 ', '00125 ', '00125 ', '00268', '00277', '00451 ', '00627 ', '00716 ', '00923 ', '01136 ', '01162 ']
sensitivities;['00268', '00268']
sensitivity;['00034 ', '00058 ', '00268', '00268', '00268', '00268', '00268', '00268', '00268', '00270', '00270', '00397 ', '00397 ', '00718 ', '01163 ']
sensitized;['00445 ']
sensory;['00268', '00596 ', '00596 ', '00596 ']
separate;['00325', '01127 ']
separated;['01160 ']
separately;['00377 ']
separates;['00268']
sepsis;['01037 ', '01065 ']
septicemia;['00517 ']
sequel;['00648 ']
sequence;['01033 ', '01091 ']
sequences;['00494 ']
sera;['00018 ', '00018 ', '00018 ', '00102 ', '00107 ', '00201', '00219', '00277', '00281', '00406 ', '00415 ', '00415 ', '00430 ', '00484 ', '00484 ', '00689 ', '00726 ', '00726 ', '00726 ', '00726 ', '00726 ', '00726 ', '00726 ', '00726 ', '00739 ', '00740 ', '00903 ', '00949 ', '01210 ', '01210 ', '01210 ', '01210 ']
serial;['00811 ']
series;['00037 ', '00111 ', '00219', '00377 ', '00525 ', '01033 ', '01044 ', '01127 ']
serine;['01068 ', '01136 ']
serious;['00037 ', '00238', '00242', '00328', '00504 ', '00517 ', '00716 ', '00736 ', '00937 ', '00991 ']
seriously;['00838 ']
sero;['00219']
serological;['00104 ']
serosa;['01167 ']
serous;['00441 ']
serum;['00018 ', '00018 ', '00018 ', '00018 ', '00018 ', '00018 ', '00018 ', '00019 ', '00019 ', '00019 ', '00034 ', '00063 ', '00063 ', '00063 ', '00063 ', '00063 ', '00063 ', '00063 ', '00063 ', '00067 ', '00071 ', '00071 ', '00071 ', '00071 ', '00071 ', '00071 ', '00098 ', '00098 ', '00102 ', '00102 ', '00104 ', '00106 ', '00107 ', '00107 ', '00118 ', '00118 ', '00118 ', '00126 ', '00126 ', '00126 ', '00163 ', '00163 ', '00201', '00201', '00201', '00216', '00216', '00217', '00218', '00218', '00218', '00219', '00219', '00219', '00219', '00219', '00222', '00242', '00244', '00279', '00284', '00286', '00287', '00288', '00392 ', '00392 ', '00406 ', '00415 ', '00415 ', '00415 ', '00415 ', '00415 ', '00415 ', '00415 ', '00415 ', '00415 ', '00423 ', '00430 ', '00430 ', '00434 ', '00437 ', '00444 ', '00445 ', '00445 ', '00465 ', '00484 ', '00484 ', '00484 ', '00494 ', '00498 ', '00498 ', '00501 ', '00501 ', '00501 ', '00508 ', '00508 ', '00508 ', '00508 ', '00508 ', '00508 ', '00525 ', '00525 ', '00525 ', '00529 ', '00529 ', '00529 ', '00534 ', '00602 ', '00602 ', '00726 ', '00726 ', '00726 ', '00726 ', '00739 ', '00740 ', '00769 ', '00777 ', '00777 ', '00777 ', '00781 ', '00781 ', '00781 ', '00781 ', '00781 ', '00830 ', '00830 ', '00830 ', '00832 ', '00860 ', '00860 ', '00903 ', '00928 ', '00928 ', '00949 ', '00954 ', '00954 ', '00954 ', '00954 ', '00997 ', '01013 ', '01028 ', '01039 ', '01044 ', '01044 ', '01044 ', '01044 ', '01044 ', '01044 ', '01044 ', '01103 ', '01106 ', '01108 ', '01108 ', '01108 ', '01129 ', '01131 ', '01132 ', '01135 ', '01161 ', '01161 ', '01162 ', '01162 ', '01163 ', '01163 ', '01165 ', '01165 ', '01165 ', '01168 ', '01178 ', '01206 ', '01206 ', '01206 ', '01206 ', '01206 ', '01206 ', '01206 ', '01206 ', '01206 ', '01226 ', '01226 ', '01236 ', '01238 ']
serve;['00077 ', '00756 ', '01167 ', '01186 ']
serves;['00476 ', '00605 ', '00934 ']
service;['00076 ', '00627 ', '01070 ']
session;['00911 ', '01220 ']
set;['00083 ', '00146 ', '00726 ']
setting;['01091 ']
settings;['00465 ']
settlements;['00617 ']
seven;['00164 ', '00219', '00219', '00219', '00268', '00415 ', '00542 ', '00711 ', '00726 ', '00843 ', '00879 ', '01210 ']
seventeen;['00556 ']
seventh;['00714 ']
sever;['00643 ']
several;['00014 ', '00098 ', '00165 ', '00197', '00272', '00280', '00328', '00359 ', '00359 ', '00431 ', '00435 ', '00437 ', '00445 ', '00449 ', '00497 ', '00518 ', '00627 ', '00739 ', '00740 ', '00740 ', '00798 ', '00818 ', '00856 ', '00875 ', '00881 ', '01068 ', '01072 ', '01130 ', '01148 ', '01161 ', '01162 ', '01168 ', '01174 ', '01178 ', '01185 ']
severe;['00014 ', '00014 ', '00037 ', '00063 ', '00063 ', '00103 ', '00185', '00244', '00250', '00250', '00272', '00282', '00333', '00468 ', '00582 ', '00615 ', '00798 ', '00903 ', '00910 ', '00925 ', '00985 ', '01131 ', '01131 ', '01132 ', '01177 ', '01219 ', '01219 ']
severely;['00212', '00238', '00244', '00244', '00326']
severities;['00350']
severity;['00037 ', '00063 ', '00063 ', '00102 ', '00219', '00268', '00268', '00268', '00297', '00359 ', '00434 ', '00434 ', '00446 ', '00582 ', '00716 ', '00822 ', '00985 ', '01039 ', '01099 ', '01151 ', '01151 ']
sex;['00014 ', '00102 ', '00118 ', '00215', '00215', '00268', '00284', '00436 ', '00476 ', '00508 ', '00704 ', '00935 ', '01031 ', '01156 ', '01172 ', '01185 ', '01195 ']
sexes;['00879 ']
sexual;['00215', '00215', '00215', '00215', '00215', '00215', '00215', '00296', '00836 ', '00836 ', '01113 ']
sexuality;['00136 ']
shall;['00180', '00180', '00180']
shaped;['00837 ']
shares;['00095 ']
she;['00091 ', '00450 ', '01098 ', '01098 ', '01098 ', '01098 ', '01098 ']
shear;['00593 ', '00593 ']
sheep;['00860 ']
shock;['00201']
short;['00106 ', '00121 ', '00121 ', '00442 ', '00444 ', '00556 ', '00844 ', '01031 ', '01113 ', '01167 ']
shortcomings;['00282']
shortened;['01220 ']
shortening;['00034 ']
shortly;['01184 ']
should;['00056 ', '00058 ', '00067 ', '00076 ', '00083 ', '00088 ', '00090 ', '00094 ', '00104 ', '00120 ', '00120 ', '00125 ', '00135 ', '00135 ', '00264', '00264', '00297', '00331', '00331', '00351', '00377 ', '00377 ', '00389 ', '00395 ', '00395 ', '00395 ', '00430 ', '00430 ', '00436 ', '00483 ', '00495 ', '00507 ', '00508 ', '00508 ', '00518 ', '00518 ', '00547 ', '00592 ', '00670 ', '00714 ', '00836 ', '00838 ', '00846 ', '00879 ', '00879 ', '00902 ', '00902 ', '00911 ', '00915 ', '00934 ', '00997 ', '00997 ', '01041 ', '01099 ', '01113 ', '01122 ', '01129 ', '01139 ', '01146 ', '01155 ', '01158 ', '01165 ', '01180 ', '01183 ', '01218 ', '01218 ']
shoulder;['00801 ']
show;['00106 ', '00116 ', '00147 ', '00147 ', '00201', '00217', '00278', '00286', '00384 ', '00397 ', '00451 ', '00476 ', '00476 ', '00529 ', '00643 ', '00697 ', '01036 ', '01037 ', '01129 ', '01132 ', '01139 ', '01148 ', '01165 ', '01167 ', '01167 ', '01177 ', '01185 ', '01189 ']
showed;['00034 ', '00067 ', '00102 ', '00103 ', '00173', '00212', '00212', '00219', '00294', '00325', '00471 ', '00495 ', '00508 ', '00529 ', '00615 ', '00615 ', '00689 ', '00690 ', '00726 ', '00762 ', '00836 ', '00843 ', '01099 ', '01117 ', '01131 ', '01136 ', '01140 ', '01152 ', '01153 ', '01171 ']
showing;['00083 ', '00102 ', '00325', '00979 ']
shown;['00018 ', '00033 ', '00185', '00220', '00287', '00297', '00436 ', '00438 ', '00505 ', '00559 ', '00596 ', '00615 ', '00713 ', '00755 ', '00755 ', '00836 ', '00844 ', '00844 ', '00910 ', '00919 ', '00925 ', '00966 ', '01068 ', '01206 ']
shows;['00106 ', '00107 ', '00129 ', '00129 ', '00582 ', '00658 ', '00898 ', '01162 ', '01162 ', '01171 ']
sib;['00617 ']
siblings;['00096 ', '00217', '00217', '00218', '00219', '00268', '00297', '00485 ', '00845 ', '00902 ']
sibpairs;['01096 ']
sick;['00373 ']
sickle;['00104 ', '00442 ', '00490 ', '00979 ', '00979 ']
sickling;['00979 ']
side;['00241', '00810 ', '01167 ', '01168 ', '01180 ', '01180 ']
sides;['00115 ', '01152 ']
sight;['00076 ']
sign;['00109 ', '00115 ']
significance;['00121 ', '00147 ', '00157 ', '00185', '00485 ', '00593 ', '00923 ']
significant;['00019 ', '00030 ', '00084 ', '00088 ', '00102 ', '00102 ', '00106 ', '00106 ', '00107 ', '00115 ', '00147 ', '00147 ', '00154 ', '00185', '00185', '00217', '00238', '00242', '00244', '00272', '00278', '00278', '00283', '00284', '00284', '00286', '00373 ', '00440 ', '00440 ', '00471 ', '00545 ', '00643 ', '00689 ', '00689 ', '00691 ', '00691 ', '00716 ', '00736 ', '00740 ', '00811 ', '01117 ', '01127 ', '01130 ', '01131 ', '01136 ', '01157 ', '01157 ', '01157 ', '01162 ', '01167 ', '01168 ', '01171 ', '01171 ', '01172 ']
significantly;['00019 ', '00063 ', '00063 ', '00106 ', '00107 ', '00107 ', '00118 ', '00118 ', '00218', '00242', '00247', '00278', '00281', '00287', '00406 ', '00415 ', '00436 ', '00441 ', '00471 ', '00592 ', '00644 ', '00716 ', '00740 ', '00928 ', '00931 ', '01100 ', '01111 ', '01130 ', '01130 ', '01132 ', '01139 ', '01161 ', '01164', '01165 ', '01171 ', '01172 ', '01173 ', '01173 ', '01173 ', '01206 ']
signifies;['00397 ']
signs;['00058 ', '00058 ', '00095 ', '00129 ', '00135 ', '00239', '00297', '00297', '00325', '00483 ', '00517 ', '00592 ', '00713 ', '00985 ', '01080 ', '01106 ', '01106 ', '01185 ', '01189 ', '01238 ']
similar;['00012 ', '00077 ', '00083 ', '00094 ', '00094 ', '00103 ', '00106 ', '00185', '00196', '00201', '00215', '00244', '00280', '00286', '00288', '00373 ', '00397 ', '00406 ', '00442 ', '00496 ', '00593 ', '00607 ', '00615 ', '00615 ', '00716 ', '00997 ', '01108 ', '01108 ', '01130 ', '01136 ', '01138 ', '01140 ', '01159 ', '01170 ', '01172 ', '01206 ', '01210 ', '01223 ', '01223 ']
similarities;['00017 ', '00607 ', '00670 ']
similarly;['00941 ', '01140 ']
simple;['00038 ', '00067 ', '00208', '00294', '00482 ', '00482 ', '00503 ', '00503 ', '00767 ', '00911 ', '01031 ', '01031 ', '01072 ', '01153 ', '01176 ']
simpler;['00083 ']
simplest;['00118 ', '00359 ', '00767 ']
simplicity;['00083 ', '00325', '01174 ']
simplified;['00716 ']
simplistic;['00056 ']
simply;['00215', '00538 ', '00615 ']
simulated;['00046 ']
simulating;['00056 ']
since;['00037 ', '00067 ', '00103 ', '00111 ', '00196', '00216', '00268', '00290', '00359 ', '00377 ', '00482 ', '00496 ', '00534 ', '00617 ', '00658 ', '00689 ', '00716 ', '00719 ', '00719 ', '00732 ', '00756 ', '00759 ', '00798 ', '00872 ', '00925 ', '00941 ', '00949 ', '01066 ', '01099 ', '01103 ', '01106 ', '01129 ', '01131 ', '01146 ', '01153 ', '01175 ']
single;['00215', '00268', '00280', '00297', '00322', '00370 ', '00593 ', '00643 ', '00704 ', '00740 ', '00837 ', '00926 ', '01031 ', '01031 ', '01162 ']
singled;['01122 ']
singularly;['00325']
sinopulmonary;['00016 ']
sinus;['00016 ', '00058 ', '00058 ', '00732 ']
sinuses;['00250', '00250', '00250', '00333']
sinusitis;['00058 ', '00058 ', '00058 ', '00058 ', '00058 ', '00250', '00925 ']
sister;['00039 ']
site;['00077 ', '00077 ', '00215', '00281', '00452 ', '00471 ', '01068 ', '01079 ', '01136 ', '01160 ']
sites;['00046 ', '00432 ']
situation;['00389 ', '00389 ', '00397 ', '01162 ']
situations;['01139 ']
six;['00103 ', '00244', '00250', '00627 ', '00879 ', '00979 ', '01100 ', '01100 ', '01219 ']
sixth;['00714 ']
sixty;['00879 ']
size;['01096 ', '01162 ']
skeletal;['00030 ']
skewed;['00185', '00185']
skilful;['00767 ']
skill;['00596 ']
skin;['00038 ', '00103 ', '00105 ', '00105 ', '00109 ', '00109 ', '00109 ', '00115 ', '00115 ', '00115 ', '00116 ', '00119 ', '00173', '00173', '00173', '00173', '00173', '00242', '00244', '00294', '00294', '00294', '00296', '00397 ', '00435 ', '00485 ', '00485 ', '00927 ', '00927 ', '01068 ', '01068 ', '01068 ', '01108 ', '01134 ', '01134 ', '01134 ', '01136 ', '01136 ', '01146 ', '01148 ', '01148 ', '01163 ', '01169 ', '01169 ', '01185 ', '01186 ']
skinfold;['00450 ']
slight;['00038 ', '00238', '00644 ', '01168 ']
slightly;['00103 ', '00107 ', '00107 ', '00315', '00716 ', '00781 ', '01172 ']
slimy;['00133 ']
slow;['00201', '00213', '00501 ', '00762 ', '01153 ']
small;['00016 ', '00034 ', '00034 ', '00037 ', '00135 ', '00164 ', '00180', '00216', '00216', '00244', '00270', '00288', '00289', '00290', '00301', '00331', '00441 ', '00444 ', '00483 ', '00529 ', '00544 ', '00649 ', '00740 ', '00755 ', '00801 ', '00818 ', '00838 ', '00844 ', '00872 ', '00925 ', '00985 ', '01066 ', '01096 ', '01166 ', '01226 ']
smaller;['00046 ', '00289', '00811 ', '01117 ', '01128 ']
smell;['00449 ']
smelling;['00925 ']
smoking;['00607 ']
smooth;['00030 ']
so;['00110 ', '00213', '00297', '00325', '00325', '00360 ', '00398 ', '00504 ', '00511 ', '00518 ', '00542 ', '00556 ', '00617 ', '00694 ', '00713 ', '00714 ', '00767 ', '00818 ', '00822 ', '00911 ', '00925 ', '00926 ', '00930 ', '01004 ', '01134 ', '01146 ', '01156 ', '01238 ']
soaked;['00109 ']
soaking;['00103 ', '00116 ']
soapy;['00119 ']
social;['00203', '00203', '00433 ', '00433 ', '00730 ', '00837 ', '01033 ', '01033 ']
society;['00136 ', '00203', '00203']
sodium;['00019 ', '00091 ', '00091 ', '00094 ', '00126 ', '00189', '00222', '00268', '00281', '00297', '00325', '00430 ', '00441 ', '00441 ', '00470 ', '00471 ', '00471 ', '00471 ', '00471 ', '00494 ', '00505 ', '00542 ', '00542 ', '00542 ', '00542 ', '00714 ', '00714 ', '00714 ', '00714 ', '00714 ', '00716 ', '00719 ', '00773 ', '00781 ', '00818 ', '00875 ', '00927 ', '00929 ', '00966 ', '00966 ', '00966 ', '01066 ', '01105 ', '01105 ', '01168 ', '01168 ', '01172 ', '01172 ', '01172 ', '01172 ', '01183 ', '01184 ']
soft;['00276']
sol;['01171 ']
sole;['00798 ', '00922 ']
solely;['00846 ']
solubility;['00505 ']
soluble;['00443 ', '00511 ', '00644 ', '01155 ']
solution;['00018 ', '00395 ', '00395 ', '00542 ', '00542 ', '00542 ', '00542 ', '00544 ']
solutions;['00395 ', '00542 ', '00542 ', '00881 ']
solve;['00430 ']
solved;['00280', '01182 ']
somatic;['00067 ', '00570 ', '00836 ']
some;['00014 ', '00018 ', '00046 ', '00060 ', '00063 ', '00076 ', '00088 ', '00104 ', '00104 ', '00104 ', '00111 ', '00118 ', '00163 ', '00165 ', '00165 ', '00208', '00215', '00216', '00216', '00217', '00218', '00241', '00241', '00278', '00281', '00283', '00287', '00287', '00288', '00291', '00291', '00315', '00332', '00333', '00350', '00352', '00370 ', '00415 ', '00431 ', '00435 ', '00476 ', '00476 ', '00497 ', '00504 ', '00525 ', '00547 ', '00547 ', '00607 ', '00617 ', '00617 ', '00617 ', '00811 ', '00818 ', '00822 ', '00860 ', '00860 ', '00911 ', '00928 ', '00949 ', '00949 ', '00990 ', '01033 ', '01066 ', '01079 ', '01132 ', '01138 ', '01156 ', '01156 ', '01156 ', '01156 ', '01156 ', '01157 ', '01158 ', '01162 ', '01169 ', '01170 ', '01170 ', '01176 ', '01185 ', '01189 ', '01218 ']
someday;['00895 ']
sometimes;['00109 ', '00333', '00343', '00433 ', '00643 ']
somewhat;['00441 ', '00925 ', '00985 ', '01170 ']
soon;['00290', '00331', '01098 ']
sophisticated;['00773 ']
sorting;['00430 ']
sought;['00491 ', '00502 ', '00704 ']
sounds;['00056 ']
source;['00220', '00808 ', '00818 ', '01088 ']
sources;['00046 ', '00328', '00439 ', '00465 ', '00497 ', '00835 ', '00845 ', '01031 ', '01236 ']
soy;['00756 ', '00797 ']
soya;['00208']
soybean;['00126 ', '00962 ', '00962 ']
sp;['01065 ']
space;['00363 ', '00363 ', '01157 ']
span;['00272']
spared;['01106 ']
sparing;['00559 ']
spasmodic;['00056 ']
special;['00283', '00586 ', '00607 ', '01040 ', '01127 ', '01165 ', '01182 ', '01183 ']
specialised;['00299', '00824 ']
specialist;['00237']
specialists;['01093 ']
specialize;['01070 ']
specialized;['00084 ', '00270', '00944 ', '01093 ']
specially;['00153 ', '01157 ', '01165 ']
specialties;['00944 ']
specialty;['00944 ']
species;['00281', '00423 ', '00922 ', '01173 ']
specific;['00014 ', '00014 ', '00060 ', '00067 ', '00135 ', '00153 ', '00153 ', '00197', '00203', '00288', '00297', '00432 ', '00432 ', '00456 ', '00496 ', '00517 ', '00627 ', '00726 ', '00726 ', '00726 ', '00856 ', '00891 ', '01099 ', '01178 ', '01234 ']
specifically;['00732 ', '00919 ']
specificity;['00525 ', '00726 ', '01176 ', '01193 ']
specified;['00740 ']
specimen;['00135 ', '00277', '00482 ', '01193 ']
specimens;['00033 ', '00247', '00719 ', '00755 ', '00860 ', '00860 ', '01172 ', '01178 ']
spectra;['00126 ']
spectrometry;['01193 ']
spectrophotometrically;['01131 ', '01131 ']
spectrum;['00430 ', '00487 ', '00559 ', '00822 ']
speculate;['00091 ', '00281', '00484 ', '01106 ']
speculation;['00101 ', '00203']
speculations;['00203']
speculative;['01168 ']
speed;['00038 ', '00713 ']
spend;['00628 ']
spent;['00299']
spermidine;['00436 ', '00436 ', '00436 ']
spermine;['00436 ', '00436 ', '00436 ', '00436 ']
spider;['00270']
spinal;['00518 ']
spindle;['00837 ']
spiritual;['01036 ']
spironolactone;['00811 ', '00811 ']
spit;['01098 ']
spite;['00431 ', '00615 ', '00933 ']
spleen;['00397 ', '00643 ']
split;['01171 ', '01171 ']
sponsored;['01091 ']
spontaneous;['00327']
spontaneously;['00060 ']
sporadic;['00216']
spot;['01128 ']
spread;['00432 ']
sputum;['00102 ', '00110 ', '00111 ', '00326', '00326', '00451 ', '00496 ', '00496 ', '00496 ', '00497 ', '00556 ', '00592 ', '00593 ', '00593 ', '00593 ', '00718 ', '00860 ', '00860 ', '00860 ', '00922 ', '00922 ', '00922 ', '00922 ', '00923 ', '01066 ', '01138 ', '01138 ', '01138 ', '01164', '01171 ', '01180 ']
stability;['00126 ', '01127 ', '01139 ', '01139 ']
stable;['00104 ', '00104 ', '00501 ', '01099 ', '01139 ', '01139 ']
staff;['00239', '01036 ']
stage;['00287', '00373 ']
stages;['00201', '00434 ', '00442 ', '00592 ']
stained;['00529 ']
staining;['00121 ', '01210 ']
standard;['00077 ', '00077 ', '00077 ', '00111 ', '00203', '00719 ', '00719 ']
standardisation;['00121 ']
standardization;['00077 ']
standardize;['01164']
standardized;['00268', '00739 ', '01041 ']
standards;['00250', '01123 ']
standing;['00239', '00781 ']
staphylococcal;['00088 ', '00088 ', '00384 ', '00384 ']
staphylococci;['00923 ']
star;['00270']
starch;['00791 ']
staring;['00768 ']
started;['00212', '00456 ', '00628 ']
starting;['00129 ']
state;['00018 ', '00060 ', '00103 ', '00104 ', '00185', '00279', '00290', '00326', '00373 ', '00430 ', '00433 ', '00443 ', '00465 ', '00470 ', '00478 ', '00496 ', '00508 ', '00542 ', '00601 ', '00658 ', '00811 ', '00844 ', '00844 ', '01001 ', '01096 ', '01098 ', '01113 ', '01183 ']
stated;['00507 ', '00507 ', '00507 ', '00507 ']
statement;['00056 ', '00902 ']
states;['00101 ', '00157 ', '00431 ', '00432 ', '00581 ', '00601 ', '00835 ', '01162 ', '01218 ']
statistical;['00818 ', '01001 ']
statistically;['00012 ', '00154 ', '00242', '00244', '00268', '00272', '00278', '00284', '01157 ', '01160 ', '01206 ']
stature;['00180', '01113 ']
status;['00185', '00212', '00373 ', '00373 ', '00415 ', '00449 ', '00581 ', '00844 ', '00985 ', '01039 ', '01039 ', '01106 ', '01108 ', '01165 ']
steady;['00247', '00384 ']
stearate;['00278']
steatorrhea;['00135 ', '00299', '00301', '00693 ', '00810 ', '00810 ', '01106 ', '01131 ']
steatorrheic;['00719 ']
steatorrhoea;['00030 ']
steatosis;['00601 ', '00601 ', '00601 ']
step;['00046 ', '00125 ', '00125 ', '00129 ', '00542 ', '00542 ', '00740 ']
steps;['00215']
stereotype;['00559 ']
sterile;['00511 ', '00687 ']
sterility;['00322', '00351', '00398 ', '00832 ']
steroid;['00397 ', '00991 ']
steroids;['00332', '00397 ', '00397 ', '00397 ', '00835 ']
sterols;['00835 ', '00991 ']
sticky;['00133 ', '00189', '00331']
still;['00121 ', '00169', '00213', '00213', '00279', '00333', '00505 ', '00508 ', '00510 ', '00517 ', '00605 ', '00627 ', '00732 ', '00824 ', '00879 ', '01033 ', '01122 ', '01166 ', '01173 ', '01206 ']
stimulate;['00781 ', '01170 ']
stimulated;['00270', '00846 ', '00925 ', '01044 ', '01100 ', '01168 ', '01172 ', '01172 ', '01224 ']
stimulates;['00430 ', '00925 ', '00925 ', '01238 ']
